sequence_number,spot_mid,spot_spread,futures_mid,futures_spread,basis,spot_momentum,futures_momentum
90000,324.375,0.25,326.05,0.4,1.6750000000000114,,
90000,324.375,0.25,326.05,0.4,1.6750000000000114,,
90000,324.375,0.25,326.05,0.4,1.6750000000000114,,
90000,324.375,0.25,326.05,0.4,1.6750000000000114,,
95000,324.375,0.25,326.05,0.4,1.6750000000000114,,
95000,324.375,0.25,326.05,0.4,1.6750000000000114,,
95000,324.375,0.25,326.05,0.4,1.6750000000000114,,
95000,324.375,0.25,326.05,0.4,1.6750000000000114,,
100000,324.375,0.25,326.05,0.4,1.6750000000000114,,
100000,324.375,0.25,326.05,0.4,1.6750000000000114,,
100000,324.375,0.25,326.05,0.4,1.6750000000000114,0.0,0.0
100000,324.375,0.25,326.05,0.4,1.6750000000000114,0.0,0.0
105000,324.375,0.25,326.05,0.4,1.6750000000000114,0.0,0.0
105000,324.375,0.25,326.05,0.4,1.6750000000000114,0.0,0.0
105000,324.375,0.25,326.05,0.4,1.6750000000000114,0.0,0.0
105000,324.375,0.25,326.05,0.4,1.6750000000000114,0.0,0.0
110000,324.375,0.25,326.0,0.3,1.625,0.0,-0.05000000000001137
110000,324.375,0.25,326.0,0.3,1.625,0.0,-0.05000000000001137
110000,324.375,0.25,326.0,0.3,1.625,0.0,-0.05000000000001137
110000,324.375,0.25,326.0,0.3,1.625,0.0,-0.05000000000001137
115000,324.375,0.25,325.9,0.2,1.5249999999999773,0.0,-0.1500000000000341
115000,324.375,0.25,325.9,0.2,1.5249999999999773,0.0,-0.1500000000000341
115000,324.375,0.25,325.9,0.2,1.5249999999999773,0.0,-0.1500000000000341
115000,324.375,0.25,325.9,0.2,1.5249999999999773,0.0,-0.1500000000000341
120000,324.375,0.25,325.95,0.1,1.5749999999999886,0.0,-0.10000000000002274
120000,324.375,0.25,325.95,0.1,1.5749999999999886,0.0,-0.10000000000002274
120000,324.375,0.25,325.95,0.1,1.5749999999999886,0.0,-0.05000000000001137
120000,324.375,0.25,325.95,0.1,1.5749999999999886,0.0,-0.05000000000001137
125000,324.375,0.25,325.875,0.15,1.5,0.0,-0.125
125000,324.375,0.25,325.875,0.15,1.5,0.0,-0.125
125000,324.375,0.25,325.875,0.15,1.5,0.0,-0.024999999999977263
125000,324.375,0.25,325.875,0.15,1.5,0.0,-0.024999999999977263
130000,324.375,0.25,326.05,0.4,1.6750000000000114,0.0,0.1500000000000341
130000,324.375,0.25,326.05,0.4,1.6750000000000114,0.0,0.1500000000000341
130000,324.375,0.25,326.05,0.4,1.6750000000000114,0.0,0.10000000000002274
130000,324.375,0.25,326.05,0.4,1.6750000000000114,0.0,0.10000000000002274
135000,324.375,0.25,325.825,0.15,1.4499999999999886,0.0,-0.125
135000,324.375,0.25,325.825,0.15,1.4499999999999886,0.0,-0.125
135000,324.375,0.25,325.825,0.15,1.4499999999999886,0.0,-0.05000000000001137
135000,324.375,0.25,325.825,0.15,1.4499999999999886,0.0,-0.05000000000001137
140000,324.375,0.25,326.025,0.25,1.6499999999999773,0.0,0.14999999999997726
140000,324.375,0.25,326.025,0.25,1.6499999999999773,0.0,0.14999999999997726
140000,324.375,0.25,326.025,0.25,1.6499999999999773,0.0,-0.025000000000034106
140000,324.375,0.25,326.025,0.25,1.6499999999999773,0.0,-0.025000000000034106
145000,324.0,0.5,325.75,0.2,1.75,-0.375,-0.30000000000001137
145000,324.0,0.5,325.75,0.2,1.75,-0.375,-0.30000000000001137
145000,324.0,0.5,325.75,0.2,1.75,-0.375,-0.07499999999998863
145000,324.0,0.5,325.75,0.2,1.75,-0.375,-0.07499999999998863
150000,324.25,0.5,326.05,0.2,1.8000000000000114,-0.125,0.22500000000002274
150000,324.25,0.5,326.05,0.2,1.8000000000000114,-0.125,0.22500000000002274
150000,324.25,0.5,326.05,0.2,1.8000000000000114,-0.125,0.025000000000034106
150000,324.25,0.5,326.05,0.2,1.8000000000000114,-0.125,0.025000000000034106
155000,324.125,0.25,326.075,0.15,1.9499999999999886,-0.25,0.05000000000001137
155000,324.125,0.25,326.075,0.15,1.9499999999999886,-0.25,0.05000000000001137
155000,324.125,0.25,326.075,0.15,1.9499999999999886,0.125,0.32499999999998863
155000,324.125,0.25,326.075,0.15,1.9499999999999886,0.125,0.32499999999998863
160000,324.375,0.25,326.25,0.2,1.875,0.375,0.5
160000,324.375,0.25,326.25,0.2,1.875,0.375,0.5
160000,324.375,0.25,326.25,0.2,1.875,0.125,0.19999999999998863
160000,324.375,0.25,326.25,0.2,1.875,0.125,0.19999999999998863
165000,324.375,0.25,326.25,0.2,1.875,0.125,0.19999999999998863
165000,324.375,0.25,326.25,0.2,1.875,0.125,0.19999999999998863
165000,324.375,0.25,326.25,0.2,1.875,0.25,0.17500000000001137
165000,324.375,0.25,326.25,0.2,1.875,0.25,0.17500000000001137
170000,324.125,0.25,326.025,0.15,1.8999999999999773,0.0,-0.05000000000001137
170000,324.125,0.25,326.025,0.15,1.8999999999999773,0.0,-0.05000000000001137
170000,324.125,0.25,326.025,0.15,1.8999999999999773,-0.25,-0.22500000000002274
170000,324.125,0.25,326.025,0.15,1.8999999999999773,-0.25,-0.22500000000002274
175000,324.25,0.5,326.0,0.2,1.75,-0.125,-0.25
175000,324.25,0.5,326.0,0.2,1.75,-0.125,-0.25
175000,324.25,0.5,326.0,0.2,1.75,-0.125,-0.25
