sequence_number,spot_mid,spot_spread,futures_mid,futures_spread,basis,spot_momentum,futures_momentum
80000,77.975,0.05,78.435,0.03,0.46000000000000796,,
80000,77.975,0.05,78.435,0.03,0.46000000000000796,,
80000,77.975,0.05,78.435,0.03,0.46000000000000796,,
80000,77.975,0.05,78.435,0.03,0.46000000000000796,,
80000,77.975,0.05,78.435,0.03,0.46000000000000796,,
80000,77.975,0.05,78.435,0.03,0.46000000000000796,,
80000,77.975,0.05,78.435,0.03,0.46000000000000796,,
80000,77.975,0.05,78.435,0.03,0.46000000000000796,,
80000,77.975,0.05,78.435,0.03,0.46000000000000796,,
80000,77.975,0.05,78.435,0.03,0.46000000000000796,,
80000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
80000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
80000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
80000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
80000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
80000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
85000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
90000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
95000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
100000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
105000,77.975,0.05,78.435,0.03,0.46000000000000796,0.0,0.0
