sequence_number,spot_mid,spot_spread,futures_mid,futures_spread,basis,spot_momentum,futures_momentum
85000,0.0,0.0,395.4,0.4,395.4,,
85000,0.0,0.0,395.4,0.4,395.4,,
85000,0.0,0.0,395.4,0.4,395.4,,
85000,0.0,0.0,395.4,0.4,395.4,,
85000,0.0,0.0,395.4,0.4,395.4,,
85000,0.0,0.0,395.4,0.4,395.4,,
85000,0.0,0.0,395.4,0.4,395.4,,
85000,0.0,0.0,395.4,0.4,395.4,,
85000,0.0,0.0,395.4,0.4,395.4,,
85000,0.0,0.0,395.4,0.4,395.4,,
85000,0.0,0.0,395.4,0.4,395.4,0.0,0.0
85000,0.0,0.0,395.4,0.4,395.4,0.0,0.0
85000,0.0,0.0,395.4,0.4,395.4,0.0,0.0
85000,0.0,0.0,395.4,0.4,395.4,0.0,0.0
85000,0.0,0.0,395.4,0.4,395.4,0.0,0.0
85000,0.0,0.0,395.4,0.4,395.4,0.0,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,393.625,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,393.625,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,393.625,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,393.625,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,393.625,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,393.625,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,393.625,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,393.625,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,393.625,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,393.625,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
90000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
95000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
100000,393.625,0.25,395.4,0.4,1.7749999999999773,0.0,0.0
