sequence_number,spot_mid,spot_spread,futures_mid,futures_spread,basis,spot_momentum,futures_momentum
95000,761.75,0.5,765.4,1.0,3.6499999999999773,,
95000,761.75,0.5,765.4,1.0,3.6499999999999773,,
95000,761.75,0.5,765.4,1.0,3.6499999999999773,,
95000,761.75,0.5,765.4,1.0,3.6499999999999773,,
95000,761.75,0.5,765.4,1.0,3.6499999999999773,,
95000,761.75,0.5,765.4,1.0,3.6499999999999773,,
95000,761.75,0.5,765.4,1.0,3.6499999999999773,,
95000,761.75,0.5,765.4,1.0,3.6499999999999773,,
95000,761.75,0.5,765.4,1.0,3.6499999999999773,,
95000,761.75,0.5,765.4,1.0,3.6499999999999773,,
95000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
95000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
95000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
95000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
95000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
95000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
100000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
105000,761.75,0.5,765.4,1.0,3.6499999999999773,0.0,0.0
110000,761.75,0.5,764.45,2.3,2.7000000000000455,0.0,-0.9499999999999318
110000,761.75,0.5,764.45,2.3,2.7000000000000455,0.0,-0.9499999999999318
110000,761.75,0.5,764.45,2.3,2.7000000000000455,0.0,-0.9499999999999318
110000,761.75,0.5,764.45,2.3,2.7000000000000455,0.0,-0.9499999999999318
110000,761.75,0.5,764.45,2.3,2.7000000000000455,0.0,-0.9499999999999318
