sequence_number,spot_mid,spot_spread,futures_mid,futures_spread,basis,spot_momentum,futures_momentum
80000,0.0,0.0,33.345,-0.05,33.345,,
80000,0.0,0.0,33.345,-0.05,33.345,,
80000,0.0,0.0,33.345,-0.05,33.345,,
80000,0.0,0.0,33.345,-0.05,33.345,,
80000,0.0,0.0,33.345,-0.05,33.345,,
80000,0.0,0.0,33.345,-0.05,33.345,,
80000,0.0,0.0,33.345,-0.05,33.345,,
80000,0.0,0.0,33.345,-0.05,33.345,,
80000,0.0,0.0,33.345,-0.05,33.345,,
80000,0.0,0.0,33.345,-0.05,33.345,,
80000,0.0,0.0,33.345,-0.05,33.345,0.0,0.0
80000,0.0,0.0,33.345,-0.05,33.345,0.0,0.0
80000,0.0,0.0,33.345,-0.05,33.345,0.0,0.0
80000,0.0,0.0,33.345,-0.05,33.345,0.0,0.0
80000,0.0,0.0,33.345,-0.05,33.345,0.0,0.0
80000,0.0,0.0,33.345,-0.05,33.345,0.0,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,33.21,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,33.21,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,33.21,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,33.21,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,33.21,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,33.21,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,33.21,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,33.21,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,33.21,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,33.21,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
85000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
90000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
95000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
100000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
105000,33.21,0.02,33.345,-0.05,0.134999999999998,0.0,0.0
