sequence_number,spot_mid,spot_spread,futures_mid,futures_spread,basis,spot_momentum,futures_momentum
95000,0.0,0.0,271.875,0.45,271.875,,
95000,0.0,0.0,271.875,0.45,271.875,,
95000,0.0,0.0,271.875,0.45,271.875,,
95000,0.0,0.0,271.875,0.45,271.875,,
95000,0.0,0.0,271.875,0.45,271.875,,
95000,0.0,0.0,271.875,0.45,271.875,,
95000,0.0,0.0,271.875,0.45,271.875,,
95000,0.0,0.0,271.875,0.45,271.875,,
95000,0.0,0.0,271.875,0.45,271.875,,
95000,0.0,0.0,271.875,0.45,271.875,,
95000,0.0,0.0,271.875,0.45,271.875,0.0,0.0
95000,0.0,0.0,271.875,0.45,271.875,0.0,0.0
95000,0.0,0.0,271.875,0.45,271.875,0.0,0.0
95000,0.0,0.0,271.875,0.45,271.875,0.0,0.0
95000,0.0,0.0,271.875,0.45,271.875,0.0,0.0
95000,0.0,0.0,271.875,0.45,271.875,0.0,0.0
100000,270.625,0.25,271.875,0.45,1.25,270.625,0.0
100000,270.625,0.25,271.875,0.45,1.25,270.625,0.0
100000,270.625,0.25,271.875,0.45,1.25,270.625,0.0
100000,270.625,0.25,271.875,0.45,1.25,270.625,0.0
100000,270.625,0.25,271.875,0.45,1.25,270.625,0.0
100000,270.625,0.25,271.875,0.45,1.25,270.625,0.0
100000,270.625,0.25,271.875,0.45,1.25,270.625,0.0
100000,270.625,0.25,271.875,0.45,1.25,270.625,0.0
100000,270.625,0.25,271.875,0.45,1.25,270.625,0.0
100000,270.625,0.25,271.875,0.45,1.25,270.625,0.0
100000,270.625,0.25,271.875,0.45,1.25,0.0,0.0
100000,270.625,0.25,271.875,0.45,1.25,0.0,0.0
100000,270.625,0.25,271.875,0.45,1.25,0.0,0.0
100000,270.625,0.25,271.875,0.45,1.25,0.0,0.0
100000,270.625,0.25,271.875,0.45,1.25,0.0,0.0
100000,270.625,0.25,271.875,0.45,1.25,0.0,0.0
105000,270.625,0.25,271.875,0.45,1.25,0.0,0.0
105000,270.625,0.25,271.875,0.45,1.25,0.0,0.0
105000,270.625,0.25,271.875,0.45,1.25,0.0,0.0
105000,270.625,0.25,271.875,0.45,1.25,0.0,0.0
105000,270.625,0.25,271.875,0.45,1.25,0.0,0.0
